City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,polyarnyy,69.1989,33.4478,-16.49,100,90,4.41,RU,1702505758
300,smithers,54.7804,-127.1743,1.18,86,75,0.0,CA,1702505759
301,zabol,32.25,67.25,3.05,35,100,1.25,AF,1702505759
302,wanning,18.8003,110.3967,24.05,91,49,1.32,CN,1702505759
303,mo i rana,66.3128,14.1428,-20.74,84,0,0.51,NO,1702505760
304,cromwell,41.5951,-72.6454,5.59,43,20,5.14,US,1702505493
305,mandiana,10.6333,-8.6833,23.33,18,0,1.92,GN,1702505760
306,callao,-12.0667,-77.15,22.16,73,40,6.69,PE,1702505761
307,saipan,15.1355,145.701,28.39,83,75,6.69,MP,1702505579
308,newman,37.3138,-121.0208,17.38,54,1,0.89,US,1702505762
309,vadso,70.0744,29.7487,-9.91,79,40,5.66,NO,1702505762
310,amreli,21.6167,71.2333,20.09,42,55,3.23,IN,1702505762
311,notse,6.95,1.1667,25.31,36,24,1.72,TG,1702505763
312,ellensburg,46.9965,-120.5479,5.43,80,100,4.12,US,1702505572
313,taltal,-25.4,-70.4833,18.03,76,50,1.33,CL,1702505764
314,campamento,14.55,-86.65,24.66,72,73,2.2,HN,1702505764
315,puerto armuelles,8.2833,-82.8667,27.87,72,59,0.45,PA,1702505765
316,linkou,45.3,130.2833,-23.93,97,88,0.33,CN,1702505765
317,tual,-5.6667,132.75,28.89,77,100,6.1,ID,1702505766
318,berezovyy,51.6667,135.7,-26.05,69,6,2.8,RU,1702505766
319,xinzhi,36.4989,111.7047,-1.43,92,100,2.32,CN,1702505766
320,porto cristo,39.5395,3.333,15.73,61,100,9.34,ES,1702505767
321,fernie,49.5,-115.0687,6.05,94,75,2.2,CA,1702505767
322,selfoss,63.9331,-20.9971,4.47,97,100,10.45,IS,1702505768
323,balkanabat,39.5108,54.3671,2.74,40,100,2.14,TM,1702505769
324,mokhsogollokh,61.4681,128.9203,-26.93,94,100,3.22,RU,1702505771
325,caucete,-31.6518,-68.2811,33.47,23,0,7.63,AR,1702505771
326,aginskoye,51.1,114.53,-24.13,83,12,4.94,RU,1702505772
327,kalmunai,7.4167,81.8167,24.94,91,96,2.55,LK,1702505772
328,changji,44.0167,87.3167,-17.56,78,0,1.0,CN,1702505773
329,tangalle,6.024,80.7911,24.09,92,100,1.72,LK,1702505774
330,cacequi,-29.8836,-54.825,21.16,92,100,5.07,BR,1702505774
331,nantucket,41.2835,-70.0995,6.08,60,40,4.12,US,1702505775
332,mikumi,-7.4041,36.9831,21.55,96,99,1.58,TZ,1702505775
333,qurayyat,31.3318,37.3428,11.1,87,20,2.06,SA,1702505776
334,wang sai phun,16.3885,100.538,24.34,74,73,2.03,TH,1702505776
335,oltinko'l,40.8011,72.1634,-3.49,42,2,2.82,UZ,1702505776
336,karema,-6.8205,30.4389,22.13,87,100,2.47,TZ,1702505777
337,cooma,-36.2333,149.1333,23.22,53,1,6.7,AU,1702505778
338,miramichi,47.0043,-65.4654,-3.01,52,72,5.3,CA,1702505582
339,malvan,16.0667,73.4667,24.0,52,1,2.91,IN,1702505779
340,papao,-17.75,-149.55,25.82,85,99,8.97,PF,1702505779
341,essaouira,31.5125,-9.77,17.72,77,25,3.09,MA,1702505780
342,yanchep,-31.55,115.6833,19.78,72,0,4.81,AU,1702505583
343,puerto francisco de orellana,-0.4667,-76.9667,27.03,83,40,1.54,EC,1702505781
344,kudahuvadhoo,2.6708,72.8944,27.37,79,81,3.07,MV,1702505781
345,sao raimundo das mangabeiras,-7.0219,-45.4811,30.37,42,50,1.37,BR,1702505782
346,guerrero negro,27.9769,-114.0611,19.43,60,0,4.75,MX,1702505782
347,coahuayana de hidalgo,18.7,-103.6583,30.1,43,100,1.91,MX,1702505783
348,atlantis,-33.5667,18.4834,16.64,76,91,5.19,ZA,1702505784
349,mont-laurier,46.5501,-75.4993,-6.21,76,100,3.98,CA,1702505784
350,nieuw amsterdam,5.8833,-55.0833,28.34,78,40,2.06,SR,1702505785
351,grand falls-windsor,48.9332,-55.6649,0.84,80,96,0.45,CA,1702505786
352,corner brook,48.9667,-57.9484,1.09,97,98,3.0,CA,1702505676
353,corumba,-19.0092,-57.6533,32.84,66,63,0.0,BR,1702505786
354,filadelfia,39.9523,-75.1638,6.76,47,0,3.09,US,1702505597
355,kimberley,-28.7323,24.7623,17.83,29,0,1.03,ZA,1702505787
356,ataq,14.5377,46.8319,16.73,74,10,1.2,YE,1702505788
357,armacao de buzios,-22.7469,-41.8817,25.03,85,2,4.3,BR,1702505788
358,nantong,32.0303,120.8747,12.21,95,100,0.61,CN,1702505753
359,iskateley,67.6803,53.1512,-13.8,95,100,4.43,RU,1702505789
360,borskoye,53.0333,51.7167,-12.77,75,100,6.21,RU,1702505790
361,luganville,-15.5333,167.1667,27.04,65,100,4.42,VU,1702505790
